aX,aY,aZ,gX,gY,gZ
-0.037,-0.189,0.899,-29.968,-18.494,12.207
-0.017,-0.197,0.875,-30.823,-26.611,15.015
0.014,-0.182,0.872,-29.907,-30.945,18.066
0.033,-0.144,0.872,-26.489,-31.616,21.24
0.043,-0.104,0.876,-20.569,-29.785,22.949
0.051,-0.088,0.889,-14.587,-26.917,22.827
0.057,-0.039,0.891,-9.705,-26.123,24.475
0.052,-0.011,0.915,-8.24,-28.687,26.245
0.02,-0.021,0.964,-10.193,-30.64,24.536
0,-0.041,1.001,-12.512,-30.09,22.278
-0.017,-0.061,1.014,-15.076,-27.893,20.996
-0.025,-0.073,1.015,-16.846,-23.804,20.996
-0.021,-0.083,1.022,-17.7,-17.334,21.973
-0.004,-0.074,1.031,-16.907,-9.766,23.621
0.019,-0.046,1.034,-14.221,-3.906,24.048
0.037,-0.025,1.029,-11.963,-1.77,23.56
0.054,-0.005,1.01,-10.01,-2.136,22.644
0.061,0.004,1.01,-9.583,-4.089,21.973
0.054,0.007,1.027,-12.329,-5.859,22.705
0.032,-0.008,1.036,-15.503,-5.92,23.926
0.006,-0.005,1.036,-17.334,-3.54,25.696
-0.024,-0.006,1.029,-18.311,2.136,26.367
-0.041,-0.019,1.026,-17.822,10.254,25.085
-0.047,-0.034,1.007,-14.404,17.273,23.56
-0.027,-0.026,0.988,-9.46,20.813,21.851
0.035,-0.101,0.968,-0.122,-45.715,15.259
0.021,-0.086,0.995,1.526,-24.048,15.686
-0.01,-0.096,0.986,1.282,-2.991,14.404
-0.035,-0.118,0.963,0.916,12.146,12.756
-0.06,-0.133,0.958,0.793,19.226,10.986
-0.082,-0.157,0.958,1.099,18.799,9.705
-0.105,-0.174,0.973,1.526,12.634,9.277
-0.129,-0.194,0.998,1.953,3.723,8.545
-0.134,-0.205,1.023,2.38,-3.784,6.47
-0.106,-0.19,1.031,1.587,-9.277,3.357
-0.062,-0.157,1.031,0.183,-12.329,1.404
-0.037,-0.142,1.04,-1.038,-12.451,1.404
-0.01,-0.127,1.036,-2.441,-9.033,2.258
0.003,-0.116,1.022,-4.272,-3.113,2.197
0.007,-0.137,1.022,-7.019,3.418,1.831
-0.009,-0.159,1.036,-9.46,8.911,2.014
-0.037,-0.187,1.046,-10.803,13.367,3.479
-0.066,-0.211,1.053,-10.742,16.846,5.615
-0.083,-0.222,1.058,-9.399,20.081,5.92
-0.086,-0.228,1.06,-8.057,24.231,4.517
-0.074,-0.229,1.033,-6.165,29.175,2.93
-0.033,-0.203,0.998,-3.296,33.02,1.892
-0.008,-0.185,0.97,0.305,33.264,0.854
0.011,-0.181,0.967,2.441,30.701,-0.305
0.015,-0.178,0.974,2.197,24.353,-0.854
0.01,-0.178,0.982,1.587,14.587,-2.502
0.052,-0.169,0.858,-12.756,33.447,9.949
0.051,-0.166,0.823,-13.428,22.095,5.798
0.043,-0.155,0.82,-14.587,8.362,1.953
0.018,-0.173,0.845,-16.357,-5.188,-0.122
0,-0.184,0.873,-15.381,-19.287,-0.244
-0.005,-0.191,0.903,-10.803,-31.25,1.587
-0.003,-0.167,0.938,-6.348,-37.354,5.676
-0.007,-0.172,0.969,-2.625,-37.72,9.949
-0.001,-0.13,0.984,1.038,-32.349,13.916
0.023,-0.103,1.003,3.967,-21.545,18.25
0.028,-0.08,1.025,4.578,-8.606,21.729
0.036,-0.046,1.018,5.554,2.014,25.024
0.043,-0.039,0.999,8.911,10.681,27.283
0.039,-0.027,0.991,9.155,16.541,28.015
0.018,-0.041,0.983,5.859,19.531,27.161
-0.001,-0.042,0.957,2.991,19.531,25.452
-0.029,-0.058,0.948,-0.122,16.785,24.292
-0.045,-0.065,0.942,-2.075,13.306,24.109
-0.065,-0.073,0.925,-0.854,9.216,23.376
-0.072,-0.076,0.923,0.122,6.775,22.888
-0.065,-0.068,0.936,0.732,6.226,22.705
-0.055,-0.052,0.939,2.747,6.958,22.4
-0.04,-0.027,0.938,6.165,8.118,22.156
-0.026,-0.02,0.957,9.155,9.521,22.644
-0.015,-0.012,0.963,10.742,11.108,23.987
-0.003,-0.009,0.957,12.634,12.512,24.963
