aX,aY,aZ,gX,gY,gZ
0.154,0.783,0.566,82.031,-13.977,-8.972
0.14,0.761,0.583,86.914,-8.057,-9.521
0.156,0.726,0.592,92.163,0.122,-8.667
0.184,0.675,0.602,95.032,6.592,-7.69
0.099,0.963,0.168,82.275,-2.991,15.076
0.088,0.942,0.193,82.886,-8.301,11.597
0.062,0.924,0.216,82.947,-11.475,10.01
0.033,0.937,0.235,83.557,-10.559,9.888
0.01,0.943,0.251,84.412,-6.226,9.46
-0.002,0.942,0.255,86.304,-0.305,8.301
-0.019,0.951,0.247,89.294,6.775,7.263
-0.012,0.978,0.229,93.14,15.137,5.432
0.015,0.985,0.218,97.9,22.827,2.93
0.052,0.964,0.204,102.417,27.344,0.244
0.101,0.944,0.183,106.934,29.358,-1.282
0.157,0.941,0.171,110.352,26.611,-3.174
0.196,0.898,0.185,111.511,17.395,-6.958
0.19,0.846,0.217,110.718,4.944,-10.986
0.166,0.837,0.263,109.009,-5.859,-14.099
0.142,0.843,0.295,107.361,-14.587,-17.151
0.104,0.843,0.33,107.971,-19.958,-19.47
0.064,0.839,0.354,110.229,-20.569,-21.057
0.059,0.862,0.378,114.502,-16.785,-21.057
0.067,0.87,0.38,119.934,-9.827,-20.874
0.078,0.861,0.382,125.366,-4.272,-21.729
0.086,0.848,0.389,129.15,-0.854,-23.132
0.092,0.828,0.395,132.324,2.075,-24.17
0.093,0.812,0.393,134.521,4.395,-24.963
0.08,0.795,0.403,134.827,6.653,-25.696
0.07,0.775,0.418,134.277,10.01,-26.306
0.047,0.972,0.022,91.98,0.244,23.01
0.058,0.955,0.061,95.337,-0.61,19.043
0.068,0.93,0.087,97.29,-1.953,15.503
0.078,0.908,0.099,98.206,-3.479,13.916
0.082,0.898,0.116,97.656,-5.432,13.489
0.065,0.886,0.151,96.741,-8.118,14.16
0.056,0.878,0.188,96.924,-9.094,14.587
0.053,0.859,0.216,97.534,-9.583,13.916
0.045,0.87,0.241,97.9,-10.193,13.184
0.017,0.894,0.282,98.816,-10.498,10.986
0.015,0.899,0.312,102.356,-9.277,5.92
0.025,0.877,0.336,106.873,-7.08,0.671
0.031,0.845,0.356,109.741,-4.639,-3.479
0.044,0.811,0.368,111.084,-1.221,-5.859
0.062,0.779,0.375,110.168,2.136,-6.592
0.073,0.76,0.375,107.91,4.822,-5.127
0.072,0.745,0.371,104.248,7.874,-2.319
0.07,0.747,0.369,100.464,10.376,1.404
0.079,0.753,0.354,98.145,13.733,4.7
0.088,0.767,0.327,97.229,16.724,7.324
0.088,0.814,0.316,98.083,17.578,7.935
0.096,0.846,0.33,102.234,14.771,2.563
0.104,0.827,0.358,108.521,8.606,-7.08
0.11,0.791,0.386,115.784,2.258,-15.686
0.116,0.76,0.435,121.887,-1.892,-20.386
0.107,0.69,0.491,124.207,-5.188,-23.376
0.217,0.733,0.182,176.697,38.208,16.174
0.266,0.726,0.189,175.964,40.771,15.137
0.314,0.743,0.184,173.523,36.316,11.414
0.332,0.725,0.172,167.969,24.414,6.287
0.311,0.723,0.183,162.231,8.057,3.235
0.263,0.708,0.213,157.288,-7.324,2.319
0.194,0.719,0.267,153.809,-19.958,2.563
0.14,0.695,0.316,152.161,-26.306,2.441
0.111,0.679,0.335,152.283,-26.489,2.747
0.058,0.694,0.387,151.611,-24.475,3.784
0.017,0.705,0.467,152.039,-20.447,2.869
0.021,0.7,0.524,156.128,-10.559,1.526
0.061,0.672,0.532,159.729,0.671,-0.671
0.132,0.668,0.506,160.278,5.859,-5.615
0.204,0.654,0.471,157.349,2.747,-12.878
0.259,0.637,0.45,153.503,-8.301,-18.616
0.273,0.576,0.439,146.79,-26.001,-21.545
0.25,0.535,0.442,137.146,-45.044,-21.79
0.14,0.536,0.473,125.366,-61.89,-19.226
-0.002,0.566,0.541,117.554,-68.115,-15.015
-0.103,0.582,0.592,117.981,-57.129,-10.559
-0.133,0.589,0.616,124.268,-32.532,-6.287
-0.099,0.608,0.618,134.399,-3.967,-4.944
-0.01,0.613,0.603,147.339,20.691,-10.132
0.103,0.582,0.591,159.119,33.325,-20.935
0.194,0.516,0.599,168.457,32.898,-32.776
0.252,0.93,-0.121,45.593,6.958,10.62
0.261,0.949,-0.135,44.556,7.568,11.353
0.263,0.967,-0.153,43.823,7.324,11.047
0.253,0.982,-0.158,44.312,5.554,10.01
0.243,0.997,-0.161,45.715,3.357,8.362
0.232,0.984,-0.159,47.241,1.221,6.714
0.225,0.984,-0.161,48.157,-0.488,5.432
0.223,0.973,-0.156,49.255,-1.648,4.211
0.224,0.945,-0.14,49.316,-2.991,2.869
0.221,0.932,-0.132,47.974,-3.418,3.052
0.217,0.95,-0.134,46.753,-2.136,4.333
0.216,0.975,-0.143,47.302,-0.671,5.371
0.218,0.998,-0.15,48.95,0.549,4.517
0.218,1.009,-0.152,52.063,1.343,2.93
0.219,1.03,-0.151,56.091,1.526,0.793
0.219,1.017,-0.142,60.486,2.563,-2.258
0.22,0.985,-0.126,64.514,3.845,-4.333
0.228,0.93,-0.11,66.345,5.737,-4.456
0.251,0.895,-0.098,65.735,6.958,-2.808
0.264,0.864,-0.101,61.829,6.775,-0.854
0.275,0.88,-0.105,57.129,5.371,2.075
0.275,0.908,-0.115,53.894,3.052,5.92
0.275,0.941,-0.128,53.284,0.305,8.179
0.269,0.963,-0.138,54.565,-4.089,7.69
0.251,0.973,-0.129,57.251,-9.705,5.188
0.224,0.97,-0.113,60.791,-15.076,2.502
0.331,1.023,-0.149,112.427,2.197,8.118
0.285,0.97,-0.101,115.845,-9.277,0.732
0.259,0.919,-0.043,115.173,-17.944,-8.606
0.239,0.867,-0.013,113.403,-20.142,-13.123
0.224,0.811,0.036,110.168,-19.47,-13.611
0.242,0.785,0.067,102.356,-16.479,-13.306
0.274,0.807,0.068,94.604,-11.841,-10.986
0.292,0.833,0.082,88.135,-10.071,-7.08
0.316,0.842,0.096,83.496,-8.911,-4.272
0.347,0.85,0.114,79.407,-8.85,-2.136
0.377,0.863,0.129,75.806,-9.216,-0.366
0.403,0.871,0.132,73.12,-11.047,1.526
0.41,0.878,0.132,71.289,-14.16,3.235
0.409,0.867,0.131,68.42,-18.311,2.93
0.408,0.875,0.119,65.491,-21.606,2.075
0.387,0.885,0.122,63.11,-25.635,1.892
0.347,0.873,0.141,61.584,-29.114,1.648
0.324,0.858,0.157,59.753,-29.053,1.709
0.321,0.851,0.159,57.434,-26.245,3.174
0.323,0.858,0.16,54.26,-23.254,5.92
0.333,0.866,0.155,51.575,-20.752,9.094
0.329,0.882,0.148,49.622,-19.47,11.902
0.319,0.902,0.144,47.974,-18.25,13.977
0.319,0.93,0.125,48.645,-17.09,14.404
0.331,0.937,0.114,50.171,-18.127,12.146
0.327,0.932,0.113,52.124,-21.179,9.705
0.216,0.645,0.271,154.297,-73.242,-13.123
0.22,0.546,0.34,152.588,-67.932,-13.367
0.245,0.504,0.42,145.813,-61.035,-6.836
0.274,0.48,0.459,136.108,-52.246,3.845
0.304,0.502,0.455,126.16,-43.091,17.273
0.323,0.583,0.416,117.004,-38.086,28.503
0.296,0.688,0.357,110.84,-40.894,31.067
0.246,0.799,0.334,110.291,-50.415,22.949
0.173,0.81,0.378,115.967,-61.646,8.85
0.081,0.748,0.498,125,-66.589,-0.977
0.03,0.667,0.591,136.292,-56.885,-3.601
0.014,0.593,0.665,144.531,-37.231,-2.136
0.045,0.527,0.731,146.606,-15.198,1.892
0.127,0.462,0.754,144.592,4.578,8.545
0.214,0.398,0.76,137.146,16.968,16.541
0.266,0.391,0.736,124.634,20.813,25.818
0.301,0.469,0.667,110.779,15.076,30.212
0.311,0.575,0.593,99.548,-0.854,22.949
0.262,0.675,0.554,96.069,-24.719,6.165
0.168,0.667,0.618,101.379,-49.011,-15.625
0.034,0.567,0.762,110.107,-61.34,-31.189
-0.029,0.48,0.873,122.314,-50.964,-34.241
-0.017,0.388,0.956,131.531,-25.452,-29.968
0.075,0.285,0.998,134.277,2.258,-22.705
0.221,0.211,0.99,129.211,23.437,-13.611
0.353,0.2,0.947,115.356,31.067,-4.211
0.297,0.892,-0.217,23.499,7.385,4.333
0.305,0.884,-0.213,21.912,7.812,3.845
0.323,0.895,-0.215,19.897,8.667,4.211
0.34,0.902,-0.215,18.25,8.484,4.578
0.354,0.894,-0.214,16.968,7.507,4.7
0.354,0.9,-0.217,15.076,6.531,5.066
0.35,0.913,-0.221,13.611,4.944,4.822
0.34,0.915,-0.22,12.634,3.784,3.967
0.334,0.913,-0.221,11.902,3.479,3.052
0.334,0.919,-0.233,11.78,3.723,2.808
0.333,0.932,-0.248,12.39,4.944,3.052
0.332,0.931,-0.257,13.184,5.859,2.258
0.333,0.923,-0.26,14.038,6.775,1.831
0.343,0.917,-0.263,14.709,8.179,2.075
0.35,0.899,-0.259,14.893,8.911,2.869
0.359,0.891,-0.255,14.038,9.094,3.906
0.362,0.896,-0.251,12.329,8.057,5.066
0.352,0.904,-0.238,10.559,5.981,6.592
0.344,0.91,-0.229,9.521,4.089,7.446
0.33,0.923,-0.22,8.362,2.197,7.263
0.324,0.937,-0.22,7.812,0.793,6.348
0.316,0.942,-0.215,8.118,-0.61,5.249
0.304,0.935,-0.208,8.057,-1.465,4.028
0.297,0.928,-0.204,7.935,-1.648,3.052
0.297,0.93,-0.209,8.179,-0.305,3.235
0.292,0.924,-0.209,8.057,1.343,3.235
0.402,0.855,-0.283,73.975,-11.23,2.441
0.4,0.852,-0.239,73.608,-12.207,3.967
0.395,0.853,-0.201,71.838,-13.184,5.249
0.392,0.861,-0.171,70.496,-13.184,7.446
0.368,0.88,-0.139,69.031,-13.367,9.888
0.345,0.898,-0.101,67.993,-14.099,10.742
0.333,0.902,-0.08,67.017,-13.611,10.803
0.313,0.903,-0.056,65.796,-12.634,11.108
0.299,0.906,-0.028,63.477,-11.719,10.803
0.302,0.907,-0.015,61.157,-10.803,10.742
0.312,0.909,-0.014,59.021,-10.193,10.681
0.318,0.906,-0.01,56.58,-11.902,10.254
0.322,0.899,0,54.077,-14.709,9.644
0.315,0.884,0.004,51.514,-17.09,9.705
0.294,0.898,0.011,48.401,-18.25,10.803
0.278,0.918,0.02,46.631,-16.907,12.268
0.28,0.932,0.011,46.326,-13.977,12.817
0.276,0.943,0.009,46.875,-11.597,12.512
0.267,0.938,0.015,46.692,-11.108,11.047
0.262,0.935,0.017,46.692,-10.132,9.827
0.269,0.944,0.012,46.265,-8.057,9.583
0.285,0.956,-0.007,46.265,-6.653,9.644
0.289,0.959,-0.021,45.837,-8.179,8.606
0.286,0.955,-0.023,44.922,-11.719,7.324
0.285,0.941,-0.023,43.335,-15.015,6.897
0.277,0.939,-0.027,41.504,-16.968,7.263
0.418,0.891,-0.374,47.668,-7.446,-0.183
0.43,0.882,-0.356,48.157,-8.728,0.183
0.434,0.883,-0.336,48.706,-9.338,1.221
0.446,0.89,-0.312,49.194,-8.789,2.747
0.457,0.888,-0.286,49.988,-9.094,4.211
0.469,0.875,-0.261,50.781,-9.766,5.859
0.467,0.875,-0.231,49.927,-11.353,7.263
0.456,0.89,-0.204,48.767,-13.855,7.751
0.431,0.898,-0.168,48.157,-15.564,8.118
0.415,0.892,-0.137,48.523,-15.076,9.521
0.419,0.894,-0.13,49.622,-12.756,11.841
0.426,0.905,-0.124,49.744,-12.207,12.024
0.411,0.904,-0.111,49.438,-13.855,11.169
0.39,0.895,-0.092,49.255,-15.564,10.925
0.368,0.894,-0.08,48.523,-14.893,11.536
0.364,0.899,-0.084,48.279,-12.268,13.428
0.364,0.911,-0.091,48.584,-9.583,15.503
0.364,0.918,-0.091,49.255,-8.423,17.273
0.354,0.909,-0.078,49.622,-7.69,17.883
0.338,0.904,-0.065,49.866,-7.08,19.165
0.339,0.93,-0.055,50.476,-5.615,20.508
0.354,0.937,-0.058,50.476,-6.775,17.761
0.369,0.936,-0.05,51.88,-10.254,14.893
0.343,0.916,-0.014,52.368,-15.381,13.062
0.319,0.896,0.016,50.415,-18.555,10.925
0.321,0.895,0.032,47.729,-16.846,11.78
